[0.072s] Invoking command in '/home/capstone/autoware.ai/build/citysim': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim -- -j12 -l12
[0.501s] [  8%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[0.633s] [  8%] Built target TrafficLightsGUIPlugin_autogen
[0.775s] [ 16%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[0.903s] [ 16%] Built target LensFlareVisualPlugin_autogen
[1.126s] [ 41%] Built target TrafficLightsGUIPlugin
[1.328s] [ 66%] Built target LensFlareVisualPlugin
[1.504s] [ 75%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[1.632s] [ 75%] Built target BloomVisualPlugin_autogen
[1.805s] [100%] Built target BloomVisualPlugin
[1.873s] Invoked command in '/home/capstone/autoware.ai/build/citysim' returned '0': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim -- -j12 -l12
[2.099s] Invoking command in '/home/capstone/autoware.ai/build/citysim': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim --target install -- -j12 -l12
[2.495s] [  8%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[2.624s] [  8%] Built target TrafficLightsGUIPlugin_autogen
[2.775s] [ 16%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[2.907s] [ 16%] Built target LensFlareVisualPlugin_autogen
[3.126s] [ 41%] Built target TrafficLightsGUIPlugin
[3.338s] [ 66%] Built target LensFlareVisualPlugin
[3.508s] [ 75%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[3.637s] [ 75%] Built target BloomVisualPlugin_autogen
[3.811s] [100%] Built target BloomVisualPlugin
[3.947s] [36mInstall the project...[0m
[4.003s] -- Install configuration: "Release"
[4.004s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/setup.sh
[4.004s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim/setup.sh
[4.005s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/lib/citysim-0/plugins/libLensFlareVisualPlugin.so
[4.006s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/lib/citysim-0/plugins/libBloomVisualPlugin.so
[4.007s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/lib/citysim-0/plugins/libTrafficLightsGUIPlugin.so
[4.008s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor
[4.009s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/model.sdf
[4.009s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes
[4.009s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_green_shirt.dae
[4.009s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_blue_shirt.dae
[4.010s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_red_shirt.dae
[4.010s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_running.dae
[4.010s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_talking_a.dae
[4.011s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_walking.dae
[4.011s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_talking_b.dae
[4.011s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/actor/model.config
[4.011s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain
[4.011s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials
[4.012s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials/textures
[4.012s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials/textures/city_terrain (original).jpg
[4.012s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials/textures/city_terrain.jpg
[4.013s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials/textures/forest.jpg
[4.013s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/model.sdf
[4.013s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/model.config
[4.013s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean
[4.013s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials
[4.014s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/programs
[4.014s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/programs/GLSL
[4.015s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/programs/GLSL/Waves.frag
[4.015s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/programs/GLSL/Waves.vert
[4.015s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/scripts
[4.015s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/scripts/ocean.material
[4.016s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures
[4.016s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds_lf.jpg
[4.016s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds.jpg
[4.016s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds_up.jpg
[4.016s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/License and source soil_sand_0045_01.txt
[4.016s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/normals.dds
[4.017s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds_fr.jpg
[4.017s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds_bk.jpg
[4.017s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/soil_sand_0045_01.jpg
[4.017s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds_dn.jpg
[4.017s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/materials/textures/clouds_rt.jpg
[4.017s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/model.sdf
[4.018s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/model.config
[4.020s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/mesh.blend
[4.033s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/mesh.dae
[4.033s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/mesh-simple.dae
[4.033s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/models/ocean/mesh_below.dae
[4.033s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/worlds/citysim_gazebo7.world
[4.034s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/worlds/citysim_gazebo9.world
[4.034s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/worlds/rendering.world
